company,category,date,aum,new_issue,nav_change,holding_sales
__industry__,active_equity,20241231,34256.0,0.0,0.0,0.0
__industry__,active_equity,20250331,34871.0,0.0,0.0,0.0
__industry__,active_equity,20250630,34725.0,528.0,2143.0,-2201.0
万家,active_equity,20241231,508.0,0.0,0.0,0.0
万家,active_equity,20250331,479.0,0.0,0.0,0.0
万家,active_equity,20250630,450.3216,5.0,13.0,-75.0
上银,active_equity,20241231,22.4564,0.0,0.0,0.0
上银,active_equity,20250331,22.4564,0.0,0.0,0.0
上银,active_equity,20250630,22.4564,0.0,0.0,0.0
东兴,active_equity,20241231,3.9455,0.0,0.0,0.0
东兴,active_equity,20250331,3.9455,0.0,0.0,0.0
东兴,active_equity,20250630,3.9455,0.0,0.0,0.0
东吴,active_equity,20241231,95.7428,0.0,0.0,0.0
东吴,active_equity,20250331,95.7428,0.0,0.0,0.0
东吴,active_equity,20250630,95.7428,0.0,0.0,0.0
东吴证券,active_equity,20241231,0.8567,0.0,0.0,0.0
东吴证券,active_equity,20250331,0.8567,0.0,0.0,0.0
东吴证券,active_equity,20250630,0.8567,0.0,0.0,0.0
东方,active_equity,20241231,163.5711,0.0,0.0,0.0
东方,active_equity,20250331,163.5711,0.0,0.0,0.0
东方,active_equity,20250630,163.5711,0.0,0.0,0.0
东方红,active_equity,20241231,725.0,0.0,0.0,0.0
东方红,active_equity,20250331,705.5,0.0,0.0,0.0
东方红,active_equity,20250630,685.9014,26.0,39.0,-93.0
东方阿尔法,active_equity,20241231,52.7834,0.0,0.0,0.0
东方阿尔法,active_equity,20250331,52.7834,0.0,0.0,0.0
东方阿尔法,active_equity,20250630,52.7834,0.0,0.0,0.0
东海,active_equity,20241231,0.541,0.0,0.0,0.0
东海,active_equity,20250331,0.541,0.0,0.0,0.0
东海,active_equity,20250630,0.541,0.0,0.0,0.0
东海证券,active_equity,20241231,1.1199,0.0,0.0,0.0
东海证券,active_equity,20250331,1.1199,0.0,0.0,0.0
东海证券,active_equity,20250630,1.1199,0.0,0.0,0.0
中信保诚,active_equity,20241231,172.5915,0.0,0.0,0.0
中信保诚,active_equity,20250331,172.5915,0.0,0.0,0.0
中信保诚,active_equity,20250630,172.5915,0.0,0.0,0.0
中信建投,active_equity,20241231,77.2055,0.0,0.0,0.0
中信建投,active_equity,20250331,77.2055,0.0,0.0,0.0
中信建投,active_equity,20250630,77.2055,0.0,0.0,0.0
中信建投证券,active_equity,20241231,8.0836,0.0,0.0,0.0
中信建投证券,active_equity,20250331,8.0836,0.0,0.0,0.0
中信建投证券,active_equity,20250630,8.0836,0.0,0.0,0.0
中信证券资管,active_equity,20241231,113.9301,0.0,0.0,0.0
中信证券资管,active_equity,20250331,113.9301,0.0,0.0,0.0
中信证券资管,active_equity,20250630,113.9301,0.0,0.0,0.0
中加,active_equity,20241231,7.3947,0.0,0.0,0.0
中加,active_equity,20250331,7.3947,0.0,0.0,0.0
中加,active_equity,20250630,7.3947,0.0,0.0,0.0
中庚,active_equity,20241231,116.0726,0.0,0.0,0.0
中庚,active_equity,20250331,116.0726,0.0,0.0,0.0
中庚,active_equity,20250630,116.0726,0.0,0.0,0.0
中欧,active_equity,20241231,1670.0,0.0,0.0,0.0
中欧,active_equity,20250331,1747.0,0.0,0.0,0.0
中欧,active_equity,20250630,1823.9062,21.0,144.0,-10.0
中泰证券资管,active_equity,20241231,160.5511,0.0,0.0,0.0
中泰证券资管,active_equity,20250331,160.5511,0.0,0.0,0.0
中泰证券资管,active_equity,20250630,160.5511,0.0,0.0,0.0
中海,active_equity,20241231,43.3668,0.0,0.0,0.0
中海,active_equity,20250331,43.3668,0.0,0.0,0.0
中海,active_equity,20250630,43.3668,0.0,0.0,0.0
中科沃土,active_equity,20241231,0.405,0.0,0.0,0.0
中科沃土,active_equity,20250331,0.405,0.0,0.0,0.0
中科沃土,active_equity,20250630,0.405,0.0,0.0,0.0
中航,active_equity,20241231,34.6792,0.0,0.0,0.0
中航,active_equity,20250331,34.6792,0.0,0.0,0.0
中航,active_equity,20250630,34.6792,0.0,0.0,0.0
中邮,active_equity,20241231,136.3679,0.0,0.0,0.0
中邮,active_equity,20250331,136.3679,0.0,0.0,0.0
中邮,active_equity,20250630,136.3679,0.0,0.0,0.0
中金,active_equity,20241231,26.8086,0.0,0.0,0.0
中金,active_equity,20250331,26.8086,0.0,0.0,0.0
中金,active_equity,20250630,26.8086,0.0,0.0,0.0
中金公司,active_equity,20241231,3.2098,0.0,0.0,0.0
中金公司,active_equity,20250331,3.2098,0.0,0.0,0.0
中金公司,active_equity,20250630,3.2098,0.0,0.0,0.0
中银,active_equity,20241231,190.7972,0.0,0.0,0.0
中银,active_equity,20250331,190.7972,0.0,0.0,0.0
中银,active_equity,20250630,190.7972,0.0,0.0,0.0
中银证券,active_equity,20241231,13.09,0.0,0.0,0.0
中银证券,active_equity,20250331,13.09,0.0,0.0,0.0
中银证券,active_equity,20250630,13.09,0.0,0.0,0.0
九泰,active_equity,20241231,8.7926,0.0,0.0,0.0
九泰,active_equity,20250331,8.7926,0.0,0.0,0.0
九泰,active_equity,20250630,8.7926,0.0,0.0,0.0
交银施罗德,active_equity,20241231,901.0,0.0,0.0,0.0
交银施罗德,active_equity,20250331,884.5,0.0,0.0,0.0
交银施罗德,active_equity,20250630,868.3625,15.0,63.0,-112.0
京管泰富,active_equity,20241231,3.4323,0.0,0.0,0.0
京管泰富,active_equity,20250331,3.4323,0.0,0.0,0.0
京管泰富,active_equity,20250630,3.4323,0.0,0.0,0.0
人保资产,active_equity,20241231,7.1882,0.0,0.0,0.0
人保资产,active_equity,20250331,7.1882,0.0,0.0,0.0
人保资产,active_equity,20250630,7.1882,0.0,0.0,0.0
信达澳亚,active_equity,20241231,351.3279,0.0,0.0,0.0
信达澳亚,active_equity,20250331,351.3279,0.0,0.0,0.0
信达澳亚,active_equity,20250630,351.3279,4.0,36.0,-39.0
先锋,active_equity,20241231,0.5837,0.0,0.0,0.0
先锋,active_equity,20250331,0.5837,0.0,0.0,0.0
先锋,active_equity,20250630,0.5837,0.0,0.0,0.0
光大保德信,active_equity,20241231,82.6852,0.0,0.0,0.0
光大保德信,active_equity,20250331,82.6852,0.0,0.0,0.0
光大保德信,active_equity,20250630,82.6852,0.0,0.0,0.0
光证资管,active_equity,20241231,13.4271,0.0,0.0,0.0
光证资管,active_equity,20250331,13.4271,0.0,0.0,0.0
光证资管,active_equity,20250630,13.4271,0.0,0.0,0.0
兴业,active_equity,20241231,99.9233,0.0,0.0,0.0
兴业,active_equity,20250331,99.9233,0.0,0.0,0.0
兴业,active_equity,20250630,99.9233,0.0,0.0,0.0
兴华,active_equity,20241231,0.1591,0.0,0.0,0.0
兴华,active_equity,20250331,0.1591,0.0,0.0,0.0
兴华,active_equity,20250630,0.1591,0.0,0.0,0.0
兴合,active_equity,20241231,0.5541,0.0,0.0,0.0
兴合,active_equity,20250331,0.5541,0.0,0.0,0.0
兴合,active_equity,20250630,0.5541,0.0,0.0,0.0
兴证全球,active_equity,20241231,1174.0,0.0,0.0,0.0
兴证全球,active_equity,20250331,1175.5,0.0,0.0,0.0
兴证全球,active_equity,20250630,1176.8063,6.0,47.0,-51.0
兴证资管,active_equity,20241231,6.4704,0.0,0.0,0.0
兴证资管,active_equity,20250331,6.4704,0.0,0.0,0.0
兴证资管,active_equity,20250630,6.4704,0.0,0.0,0.0
兴银,active_equity,20241231,6.5808,0.0,0.0,0.0
兴银,active_equity,20250331,6.5808,0.0,0.0,0.0
兴银,active_equity,20250630,6.5808,0.0,0.0,0.0
农银汇理,active_equity,20241231,319.0,0.0,0.0,0.0
农银汇理,active_equity,20250331,307.0,0.0,0.0,0.0
农银汇理,active_equity,20250630,294.9449,3.0,3.0,-30.0
凯石,active_equity,20241231,0.9902,0.0,0.0,0.0
凯石,active_equity,20250331,0.9902,0.0,0.0,0.0
凯石,active_equity,20250630,0.9902,0.0,0.0,0.0
创金合信,active_equity,20241231,121.0244,0.0,0.0,0.0
创金合信,active_equity,20250331,121.0244,0.0,0.0,0.0
创金合信,active_equity,20250630,121.0244,0.0,0.0,0.0
前海开源,active_equity,20241231,472.0,0.0,0.0,0.0
前海开源,active_equity,20250331,469.0,0.0,0.0,0.0
前海开源,active_equity,20250630,466.3368,6.0,17.0,-29.0
北信瑞丰,active_equity,20241231,2.8486,0.0,0.0,0.0
北信瑞丰,active_equity,20250331,2.8486,0.0,0.0,0.0
北信瑞丰,active_equity,20250630,2.8486,0.0,0.0,0.0
华商,active_equity,20241231,468.0,0.0,0.0,0.0
华商,active_equity,20250331,425.0,0.0,0.0,0.0
华商,active_equity,20250630,381.508,13.0,60.0,-160.0
华夏,active_equity,20241231,1360.0,0.0,0.0,0.0
华夏,active_equity,20250331,1345.5,0.0,0.0,0.0
华夏,active_equity,20250630,1331.1329,8.0,60.0,-96.0
华安,active_equity,20241231,819.0,0.0,0.0,0.0
华安,active_equity,20250331,798.5,0.0,0.0,0.0
华安,active_equity,20250630,778.0973,6.0,34.0,-81.0
华安资管,active_equity,20241231,4.1035,0.0,0.0,0.0
华安资管,active_equity,20250331,4.1035,0.0,0.0,0.0
华安资管,active_equity,20250630,4.1035,0.0,0.0,0.0
华宝,active_equity,20241231,243.7563,0.0,0.0,0.0
华宝,active_equity,20250331,243.7563,0.0,0.0,0.0
华宝,active_equity,20250630,243.7563,0.0,0.0,0.0
华宸未来,active_equity,20241231,0.0536,0.0,0.0,0.0
华宸未来,active_equity,20250331,0.0536,0.0,0.0,0.0
华宸未来,active_equity,20250630,0.0536,0.0,0.0,0.0
华富,active_equity,20241231,47.7929,0.0,0.0,0.0
华富,active_equity,20250331,47.7929,0.0,0.0,0.0
华富,active_equity,20250630,47.7929,0.0,0.0,0.0
华泰保兴,active_equity,20241231,21.8964,0.0,0.0,0.0
华泰保兴,active_equity,20250331,21.8964,0.0,0.0,0.0
华泰保兴,active_equity,20250630,21.8964,0.0,0.0,0.0
华泰柏瑞,active_equity,20241231,268.3238,0.0,0.0,0.0
华泰柏瑞,active_equity,20250331,268.3238,0.0,0.0,0.0
华泰柏瑞,active_equity,20250630,268.3238,0.0,0.0,0.0
