company,category,date,aum,new_issue,nav_change,holding_sales
__industry__,active_equity,20241231,34267.0,0.0,0.0,0.0
__industry__,active_equity,20250930,41781.0,0.0,0.0,0.0
__industry__,active_equity,20251231,40175.0,1704.0,11102.0,-6898.0
万家,active_equity,20241231,508.0,0.0,0.0,0.0
万家,active_equity,20250930,532.0,0.0,0.0,0.0
万家,active_equity,20251231,496.0,7.0,225.0,-244.0
东方红,active_equity,20241231,725.0,0.0,0.0,0.0
东方红,active_equity,20250930,800.0,0.0,0.0,0.0
东方红,active_equity,20251231,751.0,54.0,226.0,-242.0
东方红资管,active_equity,20241231,751.0,0.0,0.0,0.0
东方红资管,active_equity,20250930,751.0,0.0,0.0,0.0
东方红资管,active_equity,20251231,751.0,0.0,0.0,0.0
中欧,active_equity,20241231,1670.0,0.0,0.0,0.0
中欧,active_equity,20250930,2378.0,0.0,0.0,0.0
中欧,active_equity,20251231,2259.0,98.0,589.0,-97.0
中银,active_equity,20241231,234.0,0.0,0.0,0.0
中银,active_equity,20250930,234.0,0.0,0.0,0.0
中银,active_equity,20251231,234.0,0.0,0.0,0.0
交银施罗德,active_equity,20241231,901.0,0.0,0.0,0.0
交银施罗德,active_equity,20250930,905.0,0.0,0.0,0.0
交银施罗德,active_equity,20251231,818.0,60.0,209.0,-364.0
信达澳亚,active_equity,20241231,351.0,0.0,0.0,0.0
信达澳亚,active_equity,20250930,434.0,0.0,0.0,0.0
信达澳亚,active_equity,20251231,366.0,17.0,130.0,-133.0
兴业,active_equity,20241231,111.0,0.0,0.0,0.0
兴业,active_equity,20250930,111.0,0.0,0.0,0.0
兴业,active_equity,20251231,111.0,0.0,0.0,0.0
兴证全球,active_equity,20241231,1174.0,0.0,0.0,0.0
兴证全球,active_equity,20250930,1333.0,0.0,0.0,0.0
兴证全球,active_equity,20251231,1195.0,6.0,375.0,-360.0
前海开源,active_equity,20241231,472.0,0.0,0.0,0.0
前海开源,active_equity,20250930,529.0,0.0,0.0,0.0
前海开源,active_equity,20251231,482.0,29.0,109.0,-128.0
华商,active_equity,20241231,468.0,0.0,0.0,0.0
华商,active_equity,20250930,622.0,0.0,0.0,0.0
华商,active_equity,20251231,642.0,49.0,309.0,-184.0
华夏,active_equity,20241231,1360.0,0.0,0.0,0.0
华夏,active_equity,20250930,1662.0,0.0,0.0,0.0
华夏,active_equity,20251231,1527.0,17.0,391.0,-241.0
华安,active_equity,20241231,819.0,0.0,0.0,0.0
华安,active_equity,20250930,885.0,0.0,0.0,0.0
华安,active_equity,20251231,828.0,31.0,257.0,-279.0
华宝,active_equity,20241231,320.0,0.0,0.0,0.0
华宝,active_equity,20250930,320.0,0.0,0.0,0.0
华宝,active_equity,20251231,320.0,0.0,0.0,0.0
华泰柏瑞,active_equity,20241231,272.0,0.0,0.0,0.0
华泰柏瑞,active_equity,20250930,335.0,0.0,0.0,0.0
华泰柏瑞,active_equity,20251231,348.0,15.0,76.0,-15.0
南方,active_equity,20241231,1083.0,0.0,0.0,0.0
南方,active_equity,20250930,1175.0,0.0,0.0,0.0
南方,active_equity,20251231,1088.0,24.0,334.0,-354.0
博时,active_equity,20241231,641.0,0.0,0.0,0.0
博时,active_equity,20250930,732.0,0.0,0.0,0.0
博时,active_equity,20251231,658.0,5.0,226.0,-211.0
嘉实,active_equity,20241231,1387.0,0.0,0.0,0.0
嘉实,active_equity,20250930,1484.0,0.0,0.0,0.0
嘉实,active_equity,20251231,1398.0,43.0,361.0,-369.0
国寿安保,active_equity,20241231,57.0,0.0,0.0,0.0
国寿安保,active_equity,20250930,57.0,0.0,0.0,0.0
国寿安保,active_equity,20251231,57.0,0.0,0.0,0.0
国泰,active_equity,20241231,324.0,0.0,0.0,0.0
国泰,active_equity,20250930,436.0,0.0,0.0,0.0
国泰,active_equity,20251231,376.0,31.0,111.0,-88.0
大成,active_equity,20241231,762.0,0.0,0.0,0.0
大成,active_equity,20250930,938.0,0.0,0.0,0.0
大成,active_equity,20251231,922.0,68.0,186.0,-94.0
天弘,active_equity,20241231,144.0,0.0,0.0,0.0
天弘,active_equity,20250930,144.0,0.0,0.0,0.0
天弘,active_equity,20251231,144.0,0.0,0.0,0.0
富国,active_equity,20241231,1674.0,0.0,0.0,0.0
富国,active_equity,20250930,2123.0,0.0,0.0,0.0
富国,active_equity,20251231,2025.0,109.0,598.0,-348.0
工银瑞信,active_equity,20241231,971.0,0.0,0.0,0.0
工银瑞信,active_equity,20250930,1155.0,0.0,0.0,0.0
工银瑞信,active_equity,20251231,1071.0,13.0,253.0,-165.0
平安,active_equity,20241231,171.0,0.0,0.0,0.0
平安,active_equity,20250930,355.0,0.0,0.0,0.0
平安,active_equity,20251231,364.0,82.0,77.0,34.0
广发,active_equity,20241231,1868.0,0.0,0.0,0.0
广发,active_equity,20250930,2179.0,0.0,0.0,0.0
广发,active_equity,20251231,2166.0,102.0,509.0,-314.0
建信,active_equity,20241231,290.0,0.0,0.0,0.0
建信,active_equity,20250930,290.0,0.0,0.0,0.0
建信,active_equity,20251231,290.0,0.0,0.0,0.0
招商,active_equity,20241231,603.0,0.0,0.0,0.0
招商,active_equity,20250930,660.0,0.0,0.0,0.0
招商,active_equity,20251231,610.0,70.0,159.0,-221.0
摩根,active_equity,20241231,373.0,0.0,0.0,0.0
摩根,active_equity,20250930,514.0,0.0,0.0,0.0
摩根,active_equity,20251231,523.0,29.0,210.0,-90.0
易方达,active_equity,20241231,2531.0,0.0,0.0,0.0
易方达,active_equity,20250930,2977.0,0.0,0.0,0.0
易方达,active_equity,20251231,2913.0,120.0,993.0,-709.0
景顺长城,active_equity,20241231,1421.0,0.0,0.0,0.0
景顺长城,active_equity,20250930,1557.0,0.0,0.0,0.0
景顺长城,active_equity,20251231,1425.0,42.0,321.0,-340.0
永赢,active_equity,20241231,168.0,0.0,0.0,0.0
永赢,active_equity,20250930,935.0,0.0,0.0,0.0
永赢,active_equity,20251231,1143.0,34.0,97.0,844.0
汇添富,active_equity,20241231,1453.0,0.0,0.0,0.0
汇添富,active_equity,20250930,1795.0,0.0,0.0,0.0
汇添富,active_equity,20251231,1716.0,60.0,505.0,-301.0
海富通,active_equity,20241231,208.0,0.0,0.0,0.0
海富通,active_equity,20250930,208.0,0.0,0.0,0.0
海富通,active_equity,20251231,208.0,0.0,0.0,0.0
睿远,active_equity,20241231,319.0,0.0,0.0,0.0
睿远,active_equity,20250930,449.0,0.0,0.0,0.0
睿远,active_equity,20251231,413.0,0.0,161.0,-67.0
诺安,active_equity,20241231,422.0,0.0,0.0,0.0
诺安,active_equity,20250930,487.0,0.0,0.0,0.0
诺安,active_equity,20251231,465.0,0.0,150.0,-107.0
银华,active_equity,20241231,713.0,0.0,0.0,0.0
银华,active_equity,20250930,776.0,0.0,0.0,0.0
银华,active_equity,20251231,738.0,29.0,186.0,-192.0
鹏华,active_equity,20241231,643.0,0.0,0.0,0.0
鹏华,active_equity,20250930,838.0,0.0,0.0,0.0
鹏华,active_equity,20251231,853.0,57.0,202.0,-47.0
__industry__,fixed_income,20241231,95277.0,0.0,0.0,0.0
__industry__,fixed_income,20250930,89173.0,0.0,0.0,0.0
__industry__,fixed_income,20251231,90027.0,3489.0,1108.0,-9847.0
上银,fixed_income,20241231,1725.0,0.0,0.0,0.0
上银,fixed_income,20250930,1649.0,0.0,0.0,0.0
上银,fixed_income,20251231,1605.0,2.0,12.0,-135.0
东方红资管,fixed_income,20241231,412.0,0.0,0.0,0.0
东方红资管,fixed_income,20250930,412.0,0.0,0.0,0.0
东方红资管,fixed_income,20251231,412.0,0.0,0.0,0.0
中加,fixed_income,20241231,1207.0,0.0,0.0,0.0
中加,fixed_income,20250930,1131.0,0.0,0.0,0.0
中加,fixed_income,20251231,1311.0,60.0,15.0,31.0
中欧,fixed_income,20241231,707.0,0.0,0.0,0.0
中欧,fixed_income,20250930,707.0,0.0,0.0,0.0
中欧,fixed_income,20251231,707.0,0.0,0.0,0.0
中银,fixed_income,20241231,2649.0,0.0,0.0,0.0
中银,fixed_income,20250930,2422.0,0.0,0.0,0.0
中银,fixed_income,20251231,2316.0,0.0,22.0,-355.0
中银证券,fixed_income,20241231,1235.0,0.0,0.0,0.0
中银证券,fixed_income,20250930,1161.0,0.0,0.0,0.0
中银证券,fixed_income,20251231,1140.0,0.0,11.0,-106.0
交银施罗德,fixed_income,20241231,963.0,0.0,0.0,0.0
交银施罗德,fixed_income,20250930,963.0,0.0,0.0,0.0
交银施罗德,fixed_income,20251231,963.0,0.0,0.0,0.0
兴业,fixed_income,20241231,1940.0,0.0,0.0,0.0
兴业,fixed_income,20250930,2029.0,0.0,0.0,0.0
兴业,fixed_income,20251231,2146.0,32.0,20.0,161.0
兴证全球,fixed_income,20241231,1130.0,0.0,0.0,0.0
兴证全球,fixed_income,20250930,1095.0,0.0,0.0,0.0
兴证全球,fixed_income,20251231,1296.0,0.0,20.0,147.0
华夏,fixed_income,20241231,2460.0,0.0,0.0,0.0
华夏,fixed_income,20250930,2351.0,0.0,0.0,0.0
华夏,fixed_income,20251231,2134.0,79.0,22.0,-466.0
华安,fixed_income,20241231,1523.0,0.0,0.0,0.0
华安,fixed_income,20250930,1463.0,0.0,0.0,0.0
华安,fixed_income,20251231,1353.0,113.0,19.0,-302.0
华宝,fixed_income,20241231,262.0,0.0,0.0,0.0
华宝,fixed_income,20250930,262.0,0.0,0.0,0.0
华宝,fixed_income,20251231,262.0,0.0,0.0,0.0
华泰柏瑞,fixed_income,20241231,547.0,0.0,0.0,0.0
华泰柏瑞,fixed_income,20250930,547.0,0.0,0.0,0.0
华泰柏瑞,fixed_income,20251231,547.0,0.0,0.0,0.0
南方,fixed_income,20241231,2336.0,0.0,0.0,0.0
南方,fixed_income,20250930,2467.0,0.0,0.0,0.0
南方,fixed_income,20251231,2218.0,80.0,21.0,-209.0
博时,fixed_income,20241231,3966.0,0.0,0.0,0.0
博时,fixed_income,20250930,3251.0,0.0,0.0,0.0
博时,fixed_income,20251231,2957.0,32.0,35.0,-1038.0
嘉实,fixed_income,20241231,2683.0,0.0,0.0,0.0
嘉实,fixed_income,20250930,2648.0,0.0,0.0,0.0
嘉实,fixed_income,20251231,2859.0,68.0,26.0,52.0
国寿安保,fixed_income,20241231,1587.0,0.0,0.0,0.0
国寿安保,fixed_income,20250930,1489.0,0.0,0.0,0.0
国寿安保,fixed_income,20251231,1416.0,7.0,18.0,-183.0
国泰,fixed_income,20241231,1653.0,0.0,0.0,0.0
国泰,fixed_income,20250930,1744.0,0.0,0.0,0.0
国泰,fixed_income,20251231,1841.0,97.0,18.0,73.0
大成,fixed_income,20241231,1074.0,0.0,0.0,0.0
大成,fixed_income,20250930,1156.0,0.0,0.0,0.0
大成,fixed_income,20251231,1108.0,128.0,8.0,-84.0
天弘,fixed_income,20241231,1948.0,0.0,0.0,0.0
天弘,fixed_income,20250930,1910.0,0.0,0.0,0.0
天弘,fixed_income,20251231,2049.0,123.0,25.0,-34.0
富国,fixed_income,20241231,2904.0,0.0,0.0,0.0
富国,fixed_income,20250930,2680.0,0.0,0.0,0.0
富国,fixed_income,20251231,2777.0,42.0,33.0,-201.0
工银瑞信,fixed_income,20241231,2085.0,0.0,0.0,0.0
工银瑞信,fixed_income,20250930,2174.0,0.0,0.0,0.0
工银瑞信,fixed_income,20251231,2195.0,37.0,25.0,17.0
平安,fixed_income,20241231,1720.0,0.0,0.0,0.0
平安,fixed_income,20250930,1376.0,0.0,0.0,0.0
平安,fixed_income,20251231,1478.0,3.0,18.0,-222.0
广发,fixed_income,20241231,3651.0,0.0,0.0,0.0
广发,fixed_income,20250930,3259.0,0.0,0.0,0.0
广发,fixed_income,20251231,3244.0,46.0,36.0,-485.0
建信,fixed_income,20241231,1414.0,0.0,0.0,0.0
建信,fixed_income,20250930,1206.0,0.0,0.0,0.0
建信,fixed_income,20251231,1437.0,122.0,14.0,-114.0
招商,fixed_income,20241231,3174.0,0.0,0.0,0.0
招商,fixed_income,20250930,2832.0,0.0,0.0,0.0
招商,fixed_income,20251231,2966.0,24.0,30.0,-53.0
易方达,fixed_income,20241231,2280.0,0.0,0.0,0.0
易方达,fixed_income,20250930,2317.0,0.0,0.0,0.0
易方达,fixed_income,20251231,2230.0,76.0,30.0,-134.0
景顺长城,fixed_income,20241231,1555.0,0.0,0.0,0.0
景顺长城,fixed_income,20250930,1491.0,0.0,0.0,0.0
景顺长城,fixed_income,20251231,1548.0,50.0,19.0,-106.0
永赢,fixed_income,20241231,3074.0,0.0,0.0,0.0
永赢,fixed_income,20250930,2484.0,0.0,0.0,0.0
永赢,fixed_income,20251231,2110.0,32.0,22.0,-1015.0
汇添富,fixed_income,20241231,1914.0,0.0,0.0,0.0
汇添富,fixed_income,20250930,1893.0,0.0,0.0,0.0
汇添富,fixed_income,20251231,2000.0,83.0,26.0,-23.0
浦银安盛,fixed_income,20241231,1615.0,0.0,0.0,0.0
浦银安盛,fixed_income,20250930,1306.0,0.0,0.0,0.0
浦银安盛,fixed_income,20251231,1311.0,60.0,20.0,-383.0
海富通,fixed_income,20241231,913.0,0.0,0.0,0.0
海富通,fixed_income,20250930,1490.0,0.0,0.0,0.0
海富通,fixed_income,20251231,1584.0,36.0,14.0,622.0
鑫元,fixed_income,20241231,1350.0,0.0,0.0,0.0
鑫元,fixed_income,20250930,1293.0,0.0,0.0,0.0
鑫元,fixed_income,20251231,1296.0,14.0,12.0,-81.0
银华,fixed_income,20241231,1168.0,0.0,0.0,0.0
银华,fixed_income,20250930,1058.0,0.0,0.0,0.0
银华,fixed_income,20251231,1191.0,39.0,13.0,-6.0
鹏华,fixed_income,20241231,2629.0,0.0,0.0,0.0
鹏华,fixed_income,20250930,2527.0,0.0,0.0,0.0
鹏华,fixed_income,20251231,2762.0,75.0,35.0,19.0
__industry__,fixed_income_plus,20241231,14201.0,0.0,0.0,0.0
__industry__,fixed_income_plus,20250930,22569.0,0.0,0.0,0.0
__industry__,fixed_income_plus,20251231,25344.0,1265.0,937.0,8941.0
东方红资管,fixed_income_plus,20241231,226.0,0.0,0.0,0.0
东方红资管,fixed_income_plus,20250930,371.0,0.0,0.0,0.0
东方红资管,fixed_income_plus,20251231,388.0,39.0,15.0,109.0
中欧,fixed_income_plus,20241231,307.0,0.0,0.0,0.0
中欧,fixed_income_plus,20250930,934.0,0.0,0.0,0.0
中欧,fixed_income_plus,20251231,1055.0,69.0,26.0,653.0
中邮,fixed_income_plus,20241231,127.0,0.0,0.0,0.0
中邮,fixed_income_plus,20250930,280.0,0.0,0.0,0.0
