company,category,date,aum,new_issue,nav_change,holding_sales
__industry__,total,20241231,322447,0,0,0
__industry__,total,20250331,327930,0,0,0
__industry__,total,20250630,344167,5430.0,7602.0,8688.0
__industry__,non_money,20241231,189180,0,0,0
__industry__,non_money,20250331,191844,0,0,0
__industry__,non_money,20250630,201856,3169.0,4436.6,5070.4
__industry__,money,20241231,133268,0,0,0
__industry__,money,20250331,136086,0,0,0
__industry__,money,20250630,142311,2260.75,3165.05,3617.2
__industry__,fixed_income,20241231,89122,0,0,0
__industry__,fixed_income,20250331,95436,0,0,0
__industry__,fixed_income,20250630,96690,1892.0,2648.8,3027.2
__industry__,passive_equity,20241231,44509,0,0,0
__industry__,passive_equity,20250331,43693,0,0,0
__industry__,passive_equity,20250630,47672,790.75,1107.05,1265.2
__industry__,active_equity,20241231,34871,0,0,0
__industry__,active_equity,20250331,34256,0,0,0
__industry__,active_equity,20250630,34725,-36.5,-51.1,-58.4
__industry__,fixed_income_plus,20241231,15618,0,0,0
__industry__,fixed_income_plus,20250331,14182,0,0,0
__industry__,fixed_income_plus,20250630,16628,252.5,353.5,404.0
__industry__,fof,20241231,1491.3,0,0,0
__industry__,fof,20250331,1574.1499999999999,0,0,0
__industry__,fof,20250630,1657.0,0,0,0
易方达基金,total,20250630,21650,110.52,171.92,945.56
易方达基金,total,20250331,20626,0,0,0
易方达基金,total,20241231,20422,0,0,0
易方达基金,money,20250630,6415.0,0,43,145
易方达基金,money,20250331,6320.5,0,0,0
易方达基金,money,20241231,6226.0,0,0,0
易方达基金,non_money,20250630,15236,95.15,129.75,640.1
易方达基金,non_money,20250331,14515,0,0,0
易方达基金,non_money,20241231,14371,0,0,0
华夏基金,total,20250630,21004,718.29,374.76,2029.95
华夏基金,total,20250331,18059,0,0,0
华夏基金,total,20241231,17881,0,0,0
华夏基金,money,20250630,7746.0,0,39,2210
华夏基金,money,20250331,6621.5,0,0,0
华夏基金,money,20241231,5497.0,0,0,0
华夏基金,non_money,20250630,13258,354.96,236.64,1380.4
华夏基金,non_money,20250331,11399,0,0,0
华夏基金,non_money,20241231,11286,0,0,0
广发基金,total,20250630,15097,148.56,191.89,278.55
广发基金,total,20250331,14622,0,0,0
广发基金,total,20241231,14478,0,0,0
广发基金,money,20250630,6149,27.83,30.36,194.81
广发基金,money,20250331,5955,0,0,0
广发基金,money,20241231,5896,0,0,0
广发基金,non_money,20250630,8948,47.71,58.72,260.57
广发基金,non_money,20250331,8666,0,0,0
广发基金,non_money,20241231,8581,0,0,0
南方基金,total,20250630,13850,45.71,163.25,444.04
南方基金,total,20250331,13328,0,0,0
南方基金,total,20241231,13197,0,0,0
南方基金,money,20250630,6419,18.18,72.72,212.1
南方基金,money,20250331,6177,0,0,0
南方基金,money,20241231,6116,0,0,0
南方基金,non_money,20250630,7431,56.16,101.79,193.05
南方基金,non_money,20250331,7150,0,0,0
南方基金,non_money,20241231,7080,0,0,0
天弘基金,total,20250630,12899,79.05,106.95,279.0
天弘基金,total,20250331,12558,0,0,0
天弘基金,total,20241231,12434,0,0,0
天弘基金,money,20250630,8541.0,0,54,162
天弘基金,money,20250331,8432.5,0,0,0
天弘基金,money,20241231,8324.0,0,0,0
天弘基金,non_money,20250630,4358,34.76,41.08,82.16
天弘基金,non_money,20250331,4242,0,0,0
天弘基金,non_money,20241231,4200,0,0,0
富国基金,total,20250630,11951,247.02,214.8,612.18
富国基金,total,20250331,10985,0,0,0
富国基金,total,20241231,10877,0,0,0
富国基金,money,20250630,4289,42.46,11.58,331.96
富国基金,money,20250331,3942,0,0,0
富国基金,money,20241231,3903,0,0,0
富国基金,non_money,20250630,7663,158.47,137.8,392.73
富国基金,non_money,20250331,7043,0,0,0
富国基金,non_money,20241231,6974,0,0,0
嘉实基金,total,20250630,11351,234.25,318.58,384.17
嘉实基金,total,20250331,10518,0,0,0
嘉实基金,total,20241231,10414,0,0,0
嘉实基金,money,20250630,3731,6.16,89.32,212.52
嘉实基金,money,20250331,3457,0,0,0
嘉实基金,money,20241231,3423,0,0,0
嘉实基金,non_money,20250630,7620,132.3,176.4,321.3
嘉实基金,non_money,20250331,7060,0,0,0
嘉实基金,non_money,20241231,6990,0,0,0
博时基金,total,20250630,11324,17.25,31.05,66.7
博时基金,total,20250331,11321,0,0,0
博时基金,total,20241231,11209,0,0,0
博时基金,money,20250630,4590,7.05,10.34,29.61
博时基金,money,20250331,4588,0,0,0
博时基金,money,20241231,4543,0,0,0
博时基金,non_money,20250630,6734,11.73,17.94,39.33
博时基金,non_money,20250331,6732,0,0,0
博时基金,non_money,20241231,6665,0,0,0
汇添富基金,total,20250630,10038,169.92,217.12,556.96
汇添富基金,total,20250331,9184,0,0,0
汇添富基金,total,20241231,9094,0,0,0
汇添富基金,money,20250630,4458,117.6,50.4,252.0
汇添富基金,money,20250331,4078,0,0,0
汇添富基金,money,20241231,4038,0,0,0
汇添富基金,non_money,20250630,5580,73.5,141.75,309.75
汇添富基金,non_money,20250331,5105,0,0,0
汇添富基金,non_money,20241231,5055,0,0,0
鹏华基金,total,20250630,9501,30.32,90.96,257.72
鹏华基金,total,20250331,9213,0,0,0
鹏华基金,total,20241231,9122,0,0,0
鹏华基金,money,20250630,4657,22.32,11.16,152.52
鹏华基金,money,20250331,4515,0,0,0
鹏华基金,money,20241231,4471,0,0,0
鹏华基金,non_money,20250630,4844,42.68,54.32,97.0
鹏华基金,non_money,20250331,4697,0,0,0
鹏华基金,non_money,20241231,4650,0,0,0
建信基金,total,20250630,9297,80.01,53.34,247.65
建信基金,total,20250331,9005,0,0,0
建信基金,total,20241231,8916,0,0,0
建信基金,money,20250630,7346,27.18,51.34,223.48
建信基金,money,20250331,7115,0,0,0
建信基金,money,20241231,7044,0,0,0
建信基金,non_money,20250630,1952,17.6,8.8,53.6
建信基金,non_money,20250331,1890,0,0,0
建信基金,non_money,20241231,1872,0,0,0
招商基金,total,20250630,9062,13.6,54.4,102.0
招商基金,total,20250331,8980,0,0,0
招商基金,total,20241231,8892,0,0,0
招商基金,money,20250630,3738,13.49,6.39,51.12
招商基金,money,20250331,3704,0,0,0
招商基金,money,20241231,3667,0,0,0
招商基金,non_money,20250630,5324,13.0,19.0,68.0
招商基金,non_money,20250331,5275,0,0,0
招商基金,non_money,20241231,5224,0,0,0
